epoch_s,elapsed_s,north_m,east_m,yaw_rad,target_index,target_north_m,target_east_m,distance_to_target_m,heading_error_rad,cmd_v_m_s,cmd_w_rad_s,right_rate_rad_s,left_rate_rad_s,obstacle_distance_m
1779563349.3707016,4.995758056640625,0.0978374037687824,1.0000000003821954,-1.499266733665244e-09,1,3.0,1.0,2.9021625962312174,1.3675736099116875e-09,0.18,1.5727096513984406e-09,-10.57990951770647,10.579909027608187,5.102162596231218
1779563349.4711359,5.10119891166687,0.09988275586622909,1.0000000004037677,-1.4996673021325287e-09,1,3.0,1.0,2.900117244133771,1.360442869469125e-09,0.18,1.5645092998894936e-09,-10.579909516428748,10.57990902888591,5.100117244133771
1779563349.5762346,5.205793380737305,0.10449347671358701,1.000000000467447,-1.5008725602480618e-09,1,3.0,1.0,2.895506523286413,1.3394338971295383e-09,0.18,1.540348981698969e-09,-10.579909512664248,10.579909032650411,5.095506523286413
1779563349.6853058,5.308367490768433,0.10449347671358701,1.000000000467447,-1.5008725602480618e-09,1,3.0,1.0,2.895506523286413,1.3394338971295383e-09,0.18,1.540348981698969e-09,-10.579909512664248,10.579909032650411,5.095506523286413
1779563349.7868629,5.416422128677368,0.10577515330804937,1.0000000004678815,-1.5009036464927513e-09,1,3.0,1.0,2.8942248466919507,1.3392433828585126e-09,0.18,1.5401298902872894e-09,-10.57990951263011,10.579909032684549,5.094224846691951
1779563349.8873851,5.51744818687439,0.10756941659607797,1.000000000450373,-1.500605218543732e-09,1,3.0,1.0,2.892430583403922,1.3448975266783236e-09,0.18,1.546632155680072e-09,-10.579909513643251,10.579909031671408,5.092430583403922
1779563349.98841,5.618473052978516,0.1129525963424716,1.0000000003601086,-1.499038471811381e-09,1,3.0,1.0,2.887047403657528,1.3743060023330145e-09,0.18,1.5804519026829666e-09,-10.57990951891282,10.57990902640184,5.087047403657529
1779563350.0892446,5.7193076610565186,0.1152624312922775,1.0000000003598193,-1.4990695580560705e-09,1,3.0,1.0,2.8847375687077226,1.3743375326669138e-09,0.18,1.5804881625669508e-09,-10.579909518918468,10.57990902639619,5.084737568707722
1779563350.1900547,5.820117712020874,0.1186035889668994,1.0000000004068907,-1.4999426374426358e-09,1,3.0,1.0,2.8813964110331005,1.3587295732975235e-09,0.18,1.562539009292152e-09,-10.579909516121749,10.57990902919291,5.081396411033101
1779563350.290552,5.920614957809448,0.12169043954681033,1.0000000004422323,-1.5006416338589398e-09,1,3.0,1.0,2.87830956045319,1.3469985127301243e-09,0.18,1.5490482896396429e-09,-10.579909514019715,10.579909031294944,5.07830956045319
1779563350.4006755,6.030738592147827,0.12349088240755805,1.0000000004374654,-1.5005830140832395e-09,1,3.0,1.0,2.876509117592442,1.348500866527047e-09,0.18,1.550775996506104e-09,-10.579909514288916,10.57990903102574,5.076509117592442
1779563350.5017645,6.1318275928497314,0.12734713282380875,1.0000000003735223,-1.4994488102412825e-09,1,3.0,1.0,2.8726528671761913,1.3694219092030835e-09,0.18,1.5748351955835458e-09,-10.57990951803766,10.579909027276997,5.072652867176191
1779563350.6023345,6.232397556304932,0.13120441784590542,1.00000000033039,-1.498736491148683e-09,1,3.0,1.0,2.8687955821540947,1.3835697032504868e-09,0.18,1.5911051587380597e-09,-10.579909520572736,10.579909024741921,5.068795582154094
1779563350.7044983,6.333556652069092,0.1327488530937236,1.0000000003384635,-1.4988972514426487e-09,1,3.0,1.0,2.8672511469062765,1.380852765464624e-09,0.18,1.5879806802843175e-09,-10.579909520085904,10.579909025228755,5.067251146906276
1779563350.8050532,6.435116291046143,0.13661360583755727,1.0000000003961722,-1.499983493649942e-09,1,3.0,1.0,2.863386394162443,1.3616254790349558e-09,0.18,1.565869300890199e-09,-10.579909516640654,10.579909028674004,5.063386394162443
1779563350.9058123,6.53587532043457,0.14047882683688115,1.0000000004120295,-1.5003423177315008e-09,1,3.0,1.0,2.859521173163119,1.35625199959577e-09,0.18,1.5596897995351354e-09,-10.579909515677805,10.579909029636852,5.059521173163119
1779563351.0068371,6.636900186538696,0.1422814308092483,1.0000000003885778,-1.4999266502310812e-09,1,3.0,1.0,2.8577185691907516,1.3639516183161504e-09,0.18,1.568544361063573e-09,-10.579909517057462,10.579909028257195,5.057718569190752
1779563351.1078303,6.737893342971802,0.14537060330906137,1.000000000330839,-1.4989105741189442e-09,1,3.0,1.0,2.854629396690939,1.383015035827384e-09,0.18,1.5904672912014915e-09,-10.579909520473349,10.579909024841308,5.054629396690939
1779563351.2087069,6.838769912719727,0.14794590878908126,1.000000000305529,-1.498499347510623e-09,1,3.0,1.0,2.8520540912109187,1.391373238845972e-09,0.18,1.6000792246728677e-09,-10.579909521971016,10.579909023343642,5.052054091210919
1779563351.3094192,6.93948221206665,0.15207111784076907,1.0000000003446474,-1.4992454173831712e-09,1,3.0,1.0,2.847928882159231,1.37822864232362e-09,0.18,1.5849629386721629e-09,-10.579909519615697,10.57990902569896,5.047928882159231
1779563351.4110599,7.041122913360596,0.15594055227815282,1.0000000003904255,-1.5001513593712653e-09,1,3.0,1.0,2.8440594477218473,1.3628738138038443e-09,0.18,1.5673048858744208e-09,-10.579909516864337,10.57990902845032,5.044059447721847
1779563351.51199,7.142053127288818,0.157487512492595,1.0000000003865264,-1.5001025095581818e-09,1,3.0,1.0,2.842512487507405,1.3641221485727328e-09,0.18,1.5687404708586426e-09,-10.579909517088021,10.579909028226638,5.042512487507405
1779563351.6130977,7.2426581382751465,0.1613524050458319,1.0000000003253064,-1.4990162673508885e-09,1,3.0,1.0,2.838647594954168,1.3844170254628807e-09,0.18,1.5920795792823126e-09,-10.579909520724565,10.579909024590092,5.038647594954169
1779563351.7132425,7.343305587768555,0.16496009745171875,1.000000000280541,-1.4982666447646616e-09,1,3.0,1.0,2.835039902548281,1.3993117775612518e-09,0.18,1.6092085441954394e-09,-10.579909523393486,10.579909021921171,5.035039902548282
1779563351.81418,7.44424295425415,0.1685717682165945,1.0000000003095875,-1.4988261971690727e-09,1,3.0,1.0,2.8314282317834056,1.3894863037933192e-09,0.18,1.5979092493623168e-09,-10.579909521632905,10.57990902368175,5.031428231783406
1779563351.9152577,7.544792413711548,0.1706366675586777,1.0000000003423277,-1.499453251133381e-09,1,3.0,1.0,2.8293633324413223,1.3784622332480012e-09,0.18,1.5852315682352014e-09,-10.579909519657553,10.579909025657104,5.0293633324413225
1779563352.0154443,7.645507335662842,0.17450663059914676,1.0000000003609737,-1.4998627013848627e-09,1,3.0,1.0,2.8254933694008533,1.372106872565837e-09,0.18,1.5779229034507123e-09,-10.579909518518766,10.57990902679589,5.025493369400853
1779563352.1165707,7.746123790740967,0.17631117883812444,1.0000000003392746,-1.4994790083075523e-09,1,3.0,1.0,2.8236888211618756,1.3793259867611596e-09,0.18,1.5862248847753335e-09,-10.579909519812325,10.579909025502333,5.023688821161875
1779563352.2172039,7.847266912460327,0.17914604250706845,1.000000000286981,-1.4985579672863233e-09,1,3.0,1.0,2.8208539574929317,1.3968222134508324e-09,0.18,1.606345545468457e-09,-10.579909522947393,10.579909022367264,5.020853957492932
1779563352.3180666,7.948129653930664,0.18275594528055691,1.0000000002552825,-1.4980428238028972e-09,1,3.0,1.0,2.8172440547194433,1.4074283960496814e-09,0.18,1.6185426554571335e-09,-10.579909524847865,10.579909020466793,5.017244054719443
