EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),APFMode,APFEncounter,APFSide,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),COLREGDCPA(m),COLREGTCPA(s)
1779824441.7789717,68.25054979324341,-41.240335066898865,-74.86327073499348,0.2,3.1580997955592216,1.9211444855594788,0.2566259069758758,-0.023483672074507498,3.200281356473748,1779824441.7574422,None,None,None, None, 1779824441.737653,0.9178243360563058,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824441.9795165,68.45109462738037,-41.054565775568385,-74.5176608941765,0.2,3.1562901509010297,1.9244034792702251,0.25668957111918755,-0.04555592271592027,3.192013881629572,1779824441.938922,None,None,None, None, 1779824441.9203758,1.0954963257818153,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824442.1798909,68.65146899223328,-40.57674685748957,-73.627780468722,0.2,3.1516389683577986,1.9276975673905792,0.2567419852501831,-0.053418036122152776,3.1813098817584855,1779824442.1393037,None,None,None, None, 1779824442.1798909,0.9983408872975291,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824442.3795996,68.85117769241333,-39.7740919158573,-72.12991514059523,0.2,3.1438310773309905,1.9310208464906378,0.25677537308135234,-0.07165349812816509,3.1678121543219286,1779824442.3276787,None,None,None, None, 1779824442.316139,0.971703621081544,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824442.5798614,69.0514395236969,111.73755233728518,61.77312208696604,0.2,3.1294435810496375,1.9323134190552897,0.2566634506909827,-0.12034918609175305,3.1381280299137857,1779824442.5743287,1.9321799144823106,0.25665601971852864,3.1307392720315548, 1779824442.469409, 1779824442.58109,0.912610303308615,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824442.7796636,69.25124168395996,113.02055815954037,62.51661151740886,0.2,3.1217533351575613,1.9354749993741136,0.2565994526436354,0.007357568736377872,3.1396275074125537,1779824442.7781293,None,None,None, None, 1779824442.7540681,0.9445391040613764,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824442.9789107,69.45048880577087,113.22422586116731,62.634841512508345,0.2,3.120530156363761,1.9388355458306925,0.25651111475452915,0.04803857136136987,3.1482054474047665,1779824442.956693,None,None,None, None, 1779824442.9759061,0.9178482897057021,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824443.1797898,69.65136790275574,112.41086279569807,62.16301985733067,0.2,3.125424620689155,1.9423904251916808,0.25642229911987174,0.0787189574619286,3.1626225471170057,1779824443.1398394,None,None,None, None, 1779824443.1496465,1.0124220491170166,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824443.3793037,69.85088181495667,111.38517571289351,61.5693134628478,0.2,3.1315714342681726,1.9461305434999123,0.2563569466000968,0.06625264407988868,3.176026456905022,1779824443.3421545,None,None,None, None, 1779824443.3421545,0.9541596125642015,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824443.579425,70.05100321769714,-40.089274957098,-72.71854024234608,0.2,3.146924211432023,1.9471085312941245,0.2566607266830804,0.0786809041868688,3.192169992948551,1779824443.5473318,1.9469175211720664,0.25668314733942243,3.166988717914759, 1779824443.477724, 1779824443.5473318,1.0820942247773613,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824443.7796087,70.25118684768677,-40.6945706752424,-73.84733798824436,0.2,3.152828393269215,1.950502703575438,0.2566938832342241,0.013500790725838445,3.195204090224981,1779824443.7720666,None,None,None, None, 1779824443.7494593,1.0940539298357808,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824443.979786,70.45136404037476,-40.91416204459778,-74.25631524127266,0.2,3.154971466834103,1.9539252189004548,0.2567472042961816,-0.0196693651258403,3.191773544813902,1779824443.9464772,None,None,None, None, 1779824443.953003,0.9607210167681657,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824444.1803067,70.65188479423523,-40.412284797840925,-73.32117905693865,0.2,3.1500659208250625,1.9573757717350897,0.2568035773138454,-0.07064384461336684,3.1758948892914796,1779824444.1712477,None,None,None, None, 1779824444.1571622,0.9532427005076138,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824444.3793485,70.85092663764954,-39.847970020560815,-72.26793947348331,0.2,3.1445536006293144,1.9608478966569929,0.2568334553942595,-0.05099576799780668,3.165955034146426,1779824444.366163,None,None,None, None, 1779824444.3566532,1.0313684132721648,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824444.579395,71.05097317695618,-39.67953623850891,-71.95321299498694,0.2,3.1429198114868835,1.962198833614023,0.2567609504039978,-0.053198971972689496,3.155782603366794,1779824444.5573778,1.9620597559772868,0.25675569648198443,3.157013923386895, 1779824444.483077, 1779824444.5487995,0.9052806738485445,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824444.7797613,71.25133943557739,110.81121415406355,61.23770076833619,0.2,3.1349223047527746,1.965319967730379,0.25676180368844315,-0.07176408624397677,3.142089215023274,1779824444.748189,None,None,None, None, 1779824444.7305758,0.9199631013610677,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824444.9792075,71.45078563690186,111.91045898461488,61.87318956912555,0.2,3.1283335746341208,1.9686336476226034,0.2567203970713831,-0.009439116720840782,3.140356335454857,1779824444.931774,None,None,None, None, 1779824444.9257545,0.9075898934212213,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824445.1793356,71.65091371536255,112.0161775735165,61.934392740172356,0.2,3.1277004759537235,1.9721366705130436,0.25665335039170084,0.04424466830340437,3.1493950221573717,1779824445.1360626,None,None,None, None, 1779824445.1360626,1.0224806144745717,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
